순번,출처,장,절,항목,내용,IT감사영역
1,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,1. 연혁,2000.12. 금융기관 전자금융업무감독규정(금융감독위원회공고 제2000-117호) 제정,
2,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2001. 4. 금융기관 전자금융업무 감독규정 및 동 시행세칙 시행,2006.12. 전자금융감독규정(금융감독위원회공고 제2006-88호) 전부개정,
3,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2010. 6. 전자금융감독규정(금융위원회고시 제2010-18호) 일부개정,2011.10. 전자금융감독규정(금융위원회고시 제2011-18호) 전부개정 2012.10. 전자금융감독규정(금융위원회고시 제2012-26호) 일부개정,
4,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2013. 6. 전자금융감독규정(금융위원회고시 제2013-20호) 일부개정,2013.12. 전자금융감독규정(금융위원회고시 제2013-39호) 일부개정 2013.12. 전자금융감독규정(금융위원회고시 제2013-44호) 일부개정,
5,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2016. 6. 전자금융감독규정(금융위원회고시 제2016-24호) 일부개정,2016.10. 전자금융감독규정(금융위원회고시 제2016-37호) 일부개정 2018.12. 전자금융감독규정(금융위원회고시 제2018-36호) 일부개정 2022.11. 전자금융감독규정(금융위원회고시 제2022-44호) 일부개정,
6,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2024. 9. 전자금융감독규정(금융위원회고시 제2024-44호) 일부개정,2024.12. 전자금융감독규정(금융위원회고시 제2024-60호) 일부개정,
7,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2025. 2. 전자금융감독규정(금융위원회고시 제2025-4호) 일부개정,금융감독원,
8,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,2. 기본개념,"가. 전자금융거래의 정의 및 개념 요소 전자금융거래법은 전자금융거래를 ‘이용자가 전자금융업무(금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공하는 것)를 비대면의 자동화된 방식으로 이용하는 거래’로 정의(제2조제1호) ※ 관계 법령 법 제2조(정의) 이 법에서 사용하는 용어의 정의는 다음과 같다. 1. “전자금융거래”라 함은 금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공(이하 “전자금융업무”라 한다.)하고, 이용자가 금융회사 또는 전자금융업자의 종사자와 직접 대면하거나 의사소통을 하지 아니하고 자동화된 방식으로 이를 이용하는 거래를 말한다. 전자금융거래가 성립하기 위해서는 ㈀금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공(“전자금융업무”)하고 ㈁이용자가 비대면의 자동화된 방식으로 이를 이용하여야 함 ● ‘전자금융업자’란 전자화폐의 발행 및 관리, 전자자금이체, 직불전자지급수단의 발행 및 관리, 선불전자지급수단의 발행 및 관리, 전자지급결제대행, 결제대금예치, 전자고지결제 등의 업무를 행하고자 금융위원회의 허가를 받거나 금융위원회에 등록을 한 사업자(금융회사 제외)를 말함 전자금융업무의 형태 : 금융상품 및 금융서비스를 ‘전자적 장치’를 통하여 제공 ● 전자적 장치를 ‘통하여 제공’한다는 의미 - 금융상품 및 서비스를 전자적 장치를 통하여 제공한다는 것은 이용자가 비대면으로 전자적 장치를 통하여 금융상품 및 서비스에 직접 접근할 수 있게 하는 정도에 이르러야 함을 의미 - 단순히 전자적 장치를 금융회사 또는 전자금융업자의 업무에 활용하는 것만으로는 전자적 장치를 통한 제공에 해당되지 않음 - 예컨대 이용자가 금융회사 종사자와 대면하여 자금이체 지시를 한 경우에 금융회사 종사자가 거래지시 이행을 위하여 전자적 장치를 활용하는 경우 이를 전자적 장치를 통한 제공이라 할 수 없음 ※ 법령해석(’19.06.18.)-180408 질의 ￭ 당사가 도입 검토 중인 [모바일을 통한 약정서 제출 및 본인인증] 방식이 전자금융거래법 제2조 비대면과 자동화를 속성으로 하는 전자금융거래에 해당되는지 여부 회신 ￭ 질의상에 [모바일을 통한 약정서 제출 및 본인인증] 방식은 이용자가 전자금융업자의 종사자와 직접 대면한 상황에서 약정서를 제출하고 본인인증을 하는 경우로, 전자금융거래에 해당하지 않습니다. 이유 ￭ 「전자금융거래법」 제2조제1호는 “전자금융거래라 함은 금융회사 또는 전자금융업자가 전자적 장치를 통하여 금융상품 및 서비스를 제공하고, 이용자가 금융회사 또는 전자금융 업자의 종사자와 직접 대면하거나 의사소통을 하지 아니하고 자동화된 방식으로 이를 이용하는 거래”로 정의하고 있습니다. ※ 관계 법령 법 제2조(정의) 이 법에서 사용하는 용어의 정의는 다음과 같다.",
9,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,8. “전자적 장치”라 함은 전자금융거래정보를 전자적 방법으로 전송하거나 처리하는데 이용되는 장치로서 현금,"자동지급기, 자동입출금기, 지급용단말기, 컴퓨터, 전화기 그 밖에 전자적 방법으로 정보를 전송하거나 처리하는 장치를 말한다. 전자금융업무의 객체 : 금융상품 및 서비스 ● 전자금융거래법은 ‘금융회사’ 및 ‘전자금융업자’만을 정의하고 ‘금융상품 서비스’개념에 대해 별도로 정하고 있지 않음 ● ‘금융상품 및 서비스’에 대하여 다음과 같은 견해가 있을 수 있음 - ‘금융’의 개념을 중시하여 금융회사 또는 전자금융업자가 자금의 융통과 관계된 상품 또는 서비스를 제공하는 경우에 국한하는 견해(협의의 개념) - 금융상품 및 서비스에 대한 정의를 별도로 하지 않은 점을 감안, ‘금융상품 및 서비스’란 금융회사 또는 전자금융업자가 제공하는 금융 관련상품 및 서비스 일반을 의미한다고 해석하는 견해(광의의 개념) ● 전자금융업무의 범위는 전자금융거래의 대중화, 다양화 및 이용자 보호 등을 고려할 때 광의의 개념으로 보는 것이 타당함 - 따라서 인터넷을 통한 신용정보, 자산보유 또는 거래내역 조회 서비스 제공도 전자금융업무에 해당함 금융감독원",
10,금융감독원 전자금융감독규정 해설서(2025.8),제1장 주요내용,,10. “접근매체”라 함은 전자금융거래에 있어서 거래지시를 하거나 이용자 및 거래내용의 진실성과 정확성을,"확보하기 위하여 사용되는 다음 각 목의 어느 하나에 해당하는 수단 또는 정보를 말한다. 가. 전자식 카드 및 이에 준하는 전자적 정보 나. 「전자서명법」 제2조제3호에 따른 전자서명생성정보 및 같은 조 제6호에 따른 인증서 다. 금융회사 또는 전자금융업자에 등록된 이용자번호 라. 이용자의 생체정보 마. 가목 또는 나목의 수단이나 정보를 사용하는데 필요한 비밀번호 ※ 법령해석(’20.7.27.)-200147 질의 ￭ 당행에서는 일정 금액 이하는 통장 비밀번호만으로 이체가 가능한 간편이체 서비스를 구상중입니다. 이에 통장 비밀번호가 거래지시에 필요한 실명확인된 접근매체로 볼 수 있는지 질의 드립니다. 회신 ￭ 귀사가 발급하는 통장 비밀번호는 해당 통장의 전자적 정보를 사용하는 전자금융거래에 있어서 거래지시 (자금이체 ｢ 등)가 가능하도록 필요한 통장 비밀번호를 이용자에게 발급하는 것이라면, 특별한 사정이 없는 한 전자금융 ｣ 거래법 상 ‘접근매체’ 에 해당하는 것으로 판단됩니다. ￭ ｢ ｣ 귀사가 전자금융거래법 제2조제10호에 따른 ‘접근매체’ 로서 통장 비밀번호를 이용자에게 발급하는 경우 ｢ ｣ ｢ ｣ 전자금융거래법 제6조제2항 및 전자금융감독규정 제34조제3호에 따라 이용자의 실명확인 후 교부 하여야 합니다. ∙ 이 경우, 해당 통장 비밀번호는 특별한 사정이 없는 한 거래지시에 필요한 실명확인된 접근매체에 해당하는 것으로 판단됩니다. 이유 ￭ 귀사가 발급하는 통장 비밀번호는 해당 통장의 전자적 정보를 사용하는 전자금융거래에 있어서 거래지시 (자금이체 등)가 가능하도록 필요한 통장 비밀번호를 이용자에게 발급하는 것이라면, 특별한 사정이 없는 한 ｢ ｣ 전자금융거래법 상 ‘접근매체’에 해당하는 것으로 판단됩니다. ∙ ｢ ｣ 한편 , 해약환급금 입금용 통장 등 단순 입출금을 위해 발급되는 통장 및 통장 비밀번호는 전자금융거래법 상 ‘접근매체’에 해당하지 않습니다. ￭ ｢ ｣ ｢ 귀사가 전자금융거래법 제2조제10호에 따른 ‘접근매체’로서 통장 비밀번호를 이용자에게 발급하는 경우 전자금융 ｣ ｢ ｣ 거래법 제6조제2항 및 전자금융감독규정 제34조제3호에 따라 이용자의 실명확인 후 교부 하여야 합니다. ∙ 이 경우, 해당 통장 비밀번호는 특별한 사정이 없는 한 거래지시에 필요한 실명확인된 접근매체에 해당하는 것으로 판단됩니다. 금융감독원",
