examMgmtNo,emOpenSeq,금융기관명,제재조치일,관련부서,기관제재내용,임원제재내용,직원제재내용,첨부파일명,첨부파일URL
202300145,6,흥국생명보험주식회사,20260204,IT검사국,임원 제재대상,직원 제재대상,첨부파일,202300145_06_202300145_흥국생명보험㈜ 정기검사 제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202300145_06_202300145_%ED%9D%A5%EA%B5%AD%EC%83%9D%EB%AA%85%EB%B3%B4%ED%97%98%E3%88%9C+%EC%A0%95%EA%B8%B0%EA%B2%80%EC%82%AC+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202400090,1,모아저축은행,20260126,IT검사국,임원 제재대상,직원 제재대상,첨부파일,202400090_01_모아저축은행 수시검사 제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202400090_01_%EB%AA%A8%EC%95%84%EC%A0%80%EC%B6%95%EC%9D%80%ED%96%89+%EC%88%98%EC%8B%9C%EA%B2%80%EC%82%AC+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202500110,1,주식회사 핀다,20260120,디지털금융총괄국,임원 제재대상,직원 제재대상,첨부파일,202500110_01_㈜핀다_제재내용 공개.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202500110_01_%E3%88%9C%ED%95%80%EB%8B%A4_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C.pdf
202500111,1,주식회사 뱅크샐러드,20260120,디지털금융총괄국,임원 제재대상,직원 제재대상,첨부파일,202500111_01_㈜뱅크샐러드_제재내용 공개.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202500111_01_%E3%88%9C%EB%B1%85%ED%81%AC%EC%83%90%EB%9F%AC%EB%93%9C_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C.pdf
202400484,5,주식회사 위메프,20251110,전자금융검사국,임원 제재대상,직원 제재대상,첨부파일,202400484_05_위메프 제재내용 공개안(F).pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202400484_05_%EC%9C%84%EB%A9%94%ED%94%84+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88%28F%29.pdf
202400486,3,㈜티몬,20251110,전자금융검사국,임원 제재대상,직원 제재대상,첨부파일,202400486_03_티몬 제재내용 공개안(F).pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202400486_03_%ED%8B%B0%EB%AA%AC+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88%28F%29.pdf
202300674,1,(주)헥토이노베이션,20250908,디지털금융총괄국,임원 제재대상,직원 제재대상,첨부파일,202300674_01_헥토이노베이션_제재내용 공개.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202300674_01_%ED%97%A5%ED%86%A0%EC%9D%B4%EB%85%B8%EB%B2%A0%EC%9D%B4%EC%85%98_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C.pdf
202400776,1,롯데카드㈜,20250908,디지털금융총괄국,임원 제재대상,직원 제재대상,첨부파일,202400776_01_롯데카드_제재내용 공개.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202400776_01_%EB%A1%AF%EB%8D%B0%EC%B9%B4%EB%93%9C_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C.pdf
202400670,1,㈜비바리퍼블리카,20250709,전자금융검사국,임원 제재대상,직원 제재대상,첨부파일,202400670_01_(주)비바리퍼블리카_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202400670_01_%28%EC%A3%BC%29%EB%B9%84%EB%B0%94%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%B9%B4_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202200487,1,피에프씨테크놀로지스 주식회사,20250617,전자금융검사국,임원 제재대상,직원 제재대상,첨부파일,202200487_01_피에프씨테크놀로지스(주)_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200487_01_%ED%94%BC%EC%97%90%ED%94%84%EC%94%A8%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80%EC%8A%A4%28%EC%A3%BC%29_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
