법령명,순번,조문내용
전자금융감독규정,1,"제1조(목적) 이 규정은 「전자금융거래법」(이하 ""법""이라 한다) 및 동법 시행령(이하 ""시행령""이라 한다)에서 금융위원회에 위임한 사항과 그 시행에 필요한 사항 및 다른 법령에 따라 금융감독원의 검사를 받는 기관의 정보기술부문 안전성 확보 등을 위하여 필요한 사항을 규정함을 목적으로 한다."
전자금융감독규정,2,제1장 총칙
전자금융감독규정,3,"제2조(정의) 이 규정에서 사용하는 용어의 정의는 다음과 같다.
  1. ""전산실""이라 함은 전산장비, 통신 및 보안장비, 전산자료 보관 및 출력장비가 설치된 장소를 말한다.
  2. ""전산자료""라 함은 전산장비에 의해 입력ㆍ보관ㆍ출력되어 있는 자료를 말하며 그 자료가 입력ㆍ출력되어 있는 자기테이프, 디스크, 디스켓, 콤팩트디스크(CD) 등 보조기억매체를 포함한다.
  3. ""정보처리시스템""이라 함은 전자금융업무를 포함하여 정보기술부문에 사용되는 하드웨어(hardware)와 소프트웨어(software)를 말하며 관련 장비를 포함한다.
  4. ""정보기술부문""이라 함은 컴퓨터 등 정보처리능력을 가진 장치를 이용하여 정보를 수집ㆍ가공ㆍ저장ㆍ검색ㆍ송신 또는 수신을 행하는 금융회사 또는 전자금융업자의 업무, 인력, 시설 및 조직을 말한다.<개정 2013. 12. 3.>
  5. ""정보보호"" 또는 ""정보보안""이라 함은 컴퓨터 등 정보처리능력을 가진 장치를 이용하여 수집ㆍ가공ㆍ저장ㆍ검색ㆍ송신 또는 수신되는 정보의 유출ㆍ위변조ㆍ훼손 등을 방지하기 위하여 기술적ㆍ물리적ㆍ관리적 수단을 강구하는 일체의 행위를 말하며 사이버안전을 포함한다.
  6. ""정보보호시스템""이라 함은 정보처리시스템내 정보를 유출ㆍ위변조ㆍ훼손하거나 정보처리시스템의 정상적인 서비스를 방해하는 행위로부터 정보 등을 보호하기 위한 장비 및 프로그램을 말한다.
  7. ""해킹""이라 함은 접근을 허가받지 아니하고 전자금융기반시설에 불법적으로 침투하거나 허가받지 아니한 권한을 불법적으로 갖는 행위 또는 전자금융기반시설을 공격하거나 해를 끼치는 행위를 말한다.<개정 2013. 12. 3.>
  8. ""컴퓨터악성코드""(이하 ""악성코드""라 한다)라 함은 컴퓨터에서 이용자의 허락 없이 스스로를 복사하거나 변형한 뒤 정보유출, 시스템 파괴 등의 작업을 수행하여 이용자에게 피해를 주는 프로그램을 말한다.<개정 2013. 12. 3.>
  9. ""공개용 웹서버""라 함은 인터넷 이용자들이 웹페이지를 자유롭게 보고 웹서비스(월드 와이드 웹을 이용한 서비스를 말한다)를 이용할 수 있게 해주는 프로그램이 실행되는 장치를 말한다.<개정 2013. 12. 3.>
  10. ""정보통신망""(이하 ""통신망""이라 한다)이라 함은 유ㆍ무선, 광선 등 정보통신 수단에 의하여 부호ㆍ문자ㆍ음향ㆍ영상 등을 처리ㆍ저장 및 송ㆍ수신할 수 있는 정보통신 조직형태를 말한다.<개정 2013. 12. 3.>
  11. 삭제 <2013. 12. 3.>"
전자금융감독규정,4,"제3조(전자금융보조업자의 범위) 법 제2조제5호에서 ""금융위원회가 정하는 자""라 함은 다음 각 호의 어느 하나에 해당하는 자를 말한다.
  1. 정보처리시스템을 통하여 「여신전문금융업법」 상 신용카드업자의 신용카드 승인 및 결제 그 밖의 자금정산에 관한 업무를 지원하는 사업자
  2. 정보처리시스템을 통하여 은행업을 영위하는 자의 자금인출업무, 환업무 및 그 밖의 업무를 지원하는 사업자
  3. 전자금융업무와 관련된 정보처리시스템을 해당 금융회사 또는 전자금융업자를 위하여 운영하는 사업자<개정 2013. 12. 3.>
  4. 제1호 부터 제3호의 사업자와 제휴, 위탁 또는 외부주문(이하 ""외부주문등""이라 한다)에 관한 계약을 체결하고 정보처리시스템을 운영하는 사업자"
전자금융감독규정,5,제2장 전자금융거래 당사자의 권리와 의무
전자금융감독규정,6,"제4조(확인에 필요한 구체적인 거래내용) 시행령 제7조제4항제6호에서 ""금융위원회가 정하여 고시하는 사항""이란 다음 각 호를 말한다.
  1. 법 제8조에 따른 오류정정 요구사실 및 처리결과에 관한 사항
  2. 전자금융거래 신청, 조건변경에 관한 내용"
전자금융감독규정,7,"제5조(전자금융사고 책임이행을 위한 보험 등의 가입에 관한 기준) ① 금융회사 또는 전자금융업자가 법 제9조제4항에 따라 전자금융사고 책임이행을 위한 보험 또는 공제에 가입하는 경우 보상한도는 전자금융거래 규모, 전자금융사고 발생 건수 등을 고려하여 다음 각 호에서 정하는 금액 이상으로 설정해야 한다.<개정 2025. 2. 5.>
  1. 「금융위원회의 설치 등에 관한 법률」 제38조제1호(다만, 「은행법」에 의한 지방금융회사 및 같은 법 제58조에 의해 인가를 받은 외국금융회사의 국내지점은 제외한다) 및 제7호의 회사, 「전자금융거래법 시행령」 제2조제2호의 회사 : 20억원<개정 2013. 12. 3.>
  2. 「금융위원회의 설치 등에 관한 법률」 제38조제2호의 회사(명의개서대행회사는 제외한다. 이하 이 조에서 같다) 중 자산이 2조원 이상인 회사, 같은 법 제38조제8호의 회사, 「전자금융거래법」제2조제3호나목(신용카드업자에 한한다) 및 다목의 회사, 「전자금융거래법 시행령」 제2조제1호의 회사, 「은행법」에 따른 지방금융회사 및 같은 법 제58조에 의해 인가를 받은 외국금융회사의 국내지점  : 10억원<개정 2025. 2. 5.>
  3. 「금융위원회의 설치 등에 관한 법률」 제38조제2호의 회사 중 자산이 2조원 미만인 회사 : 5억원<개정 2025. 2. 5.>
  4. 제1호 부터 제3호 이외의 금융회사 : 2억원. 다만, 제1호 부터 제3호 이외의 금융회사들이 관련 법령에 의해 당해 금융회사를 구성원으로 하는 금융회사를 통해 전자금융거래 관련 정보기술부문의 주요부분을 공동으로 이용하는 경우, 정보기술부문의 주요부문을 제공하는 금융회사가 공동 이용 금융회사 전체의 사고를 보장하는 내용으로 제2호의 금액(시행령 제2조제5호의 금융회사는 제1호의 금액) 이상의 보험 또는 공제에 가입하면 공동 이용 금융회사는 본호의 보험 또는 공제에 가입한 것으로 본다.<개정 2025. 2. 5.>
  5. 법 제28조제2항제1호의 전자금융업자 : 2억원<개정 2025. 2. 5.>
  6. 법 제28조제2항제2호의 전자금융업자 : 2억원<신설 2025. 2. 5.>
  7. 법 제28조제2항제3호의 전자금융업자 : 2억원<개정 2025. 2. 5.>
  8. 법 제28조제2항제4호의 전자금융업자 중 제1호 또는 제2호에 속하는 금융회사가 발급한 신용카드, 직불카드 등 거래지시에 사용되는 접근매체의 정보를 저장하는 전자금융업자 : 10억원<종전의 제6호에서 이동, 2025. 2. 5.>
  9. 법 제28조제2항제4호의 전자금융업자 : 2억원(제1호 또는 제2호에 속하는 금융회사가 발급한 신용카드, 직불카드 등 거래지시에 사용되는 접근매체의 정보를 저장하는 전자금융업자는 제외한다)<신설 2025. 2. 5.>
  10. 시행령 제15조제3항제1호의 전자금융업자 : 2억원<신설 2025. 2. 5.>
  11. 시행령 제15조제3항제2호의 전자금융업자 : 2억원<신설 2025. 2. 5.>
  12. 법 제28조제1항의 전자금융업자 : 2억원<신설 2025. 2. 5.>
  13. 제1호부터 제12호에 2개 이상 해당하는 회사는 각 호의 금액의 합계액으로 한다. 다만 제5호부터 제12호의 합계액이 15억원을 초과하는 경우에는 제5호부터 제12호의 합계액을 15억원으로 한다.<신설 2025. 2. 5.>
  ② 금융회사 또는 전자금융업자가 전자금융사고 책임이행을 위한 준비금을 적립하는 경우에는 전자금융거래 규모, 전자금융사고 발생 건수 등을 고려하여 제1항 각 호에서 정한 금액 이상의 금액을 보유하고 책임이행이 신속히 이루어질 수 있도록 준비금 관리 및 지급에 관한 내부 절차를 수립하여 운영하여야 한다.<개정 2013. 12. 3., 2016. 10. 5., 2025. 2. 5.>
  ③ 금융회사 또는 전자금융업자가 보험 또는 공제 가입과 준비금 적립을 병행하는 경우 보험 또는 공제의 보상한도는 제1항에서 정한 금액에서 준비금 적립액을 차감한 금액 이상으로 한다.<개정 2013. 12. 3.>
  ④ 제1항 부터 제3항의 규정은 전자금융업무를 취급하지 않는 금융회사에 대하여는 적용하지 아니한다.<개정 2013. 12. 3.>"
전자금융감독규정,8,"제6조(추심이체 출금 동의의 방법 등) ① 시행령 제10조제1호에서 ""금융위원회가 정하여 고시하는 전자문서""라 함은 다음 각 전자문서을 말한다.
  1. 「전자서명법」 제2조제2호에 따른 전자서명으로 다음 각 목의 요건을 구비된 전자서명을 한 전자문서<개정 2016. 6. 30.>
    가. 전자서명을 생성하기 위하여 이용하는 전자적 정보(이하 ""전자서명생성정보""라함)가 본인에게 유일하게 속할 것
    나. 전자서명 당시 본인이 전자서명생성정보를 지배ㆍ관리하고 있을 것
    다. 전자서명이 있은 후에 당해 전자서명에 대한 변경여부를 확인할 수 있을 것
    라. 전자서명이 있은 후에 당해 전자문서의 변경여부를 확인할 수 있을 것
  2. 「전자서명법」 제2조제2호에 따른 전자서명으로 다음 각 목의 요건을 구비된 전자서명을 한 전자문서
    가. 서명 전 실명증표를 통해 본인확인
    나. 전자문서가 생성된 이후 서명자가 지급인 본인임을 확인 가능
    다. 전자서명 및 전자문서에 대한 위변조 여부 확인이 가능
    라. 전자문서를 고객에게 전송한 이후 고객이 취소할 수 있는 충분한 기간 부여
  3. 삭제 <2015. 3. 18.>
  ② 시행령 제10조제1호 및 제2호에서 ""금융위원회가 정하는 방법""이라 함은 다음 각 호의 방법을 말한다.
  1. 전화 녹취
  2. 음성응답 시스템(Audio Response System : ARS)
  ③ 지급인(출금계좌의 실지명의인을 포함한다)이 출금의 동의를 해지하는 경우에도 제1항 및 제2항의 규정을 준용한다.<개정 2015. 6. 24.>
  ④ 금융회사ㆍ전자금융업자 또는 수취인은 제1항 각 호의 출금 동의의 방법을 운용함에 있어 다음 각 호의 어느 하나에 해당하는 사실을 확인하여야 한다.<개정 2013. 12. 3.>
  1. 지급인과 추심이체 출금계좌 실지명의인이 동일인인 사실
  2. 지급인과 추심이체 출금계좌 실지명의인이 동일인이 아닐 경우에는 지급인이 당해 계좌에서 출금할 수 있는 권한을 보유하고 있는 사실"
전자금융감독규정,9,"제6조의2(정보보호최고책임자의 지정대상) ① 시행령 제11조의3제1항 후단에서 ""금융위원회가 정하여 고시하는 상시 종업원 수의 산정방식""이란 「소득세법」에 따른 원천징수의무자가 근로소득세를 원천징수한 자를 말한다.
  ② 시행령 <별표 1>의제3호나목 단서에서 ""금융위원회가 정하여 고시하는 산정방식""이란 「소득세법」에 따른 원천징수의무자가 근로소득세를 원천징수한 자를 말한다."
전자금융감독규정,10,제3장 전자금융거래의 안전성 확보 및 이용자 보호
