backup_seq,system_cd,system_nm,backup_dt,backup_type,backup_status,yn_restore_test,file_size_gb
1,CRED,신용평가시스템,2024-11-01 02:39:00,incremental,S,,0.54
2,CRED,신용평가시스템,2024-11-02 02:31:00,incremental,S,,3.71
3,CRED,신용평가시스템,2024-11-03 02:13:00,full,F,Y,28.46
4,CRED,신용평가시스템,2024-11-04 02:33:00,incremental,S,,4.25
5,CRED,신용평가시스템,2024-11-05 02:35:00,incremental,S,,4.64
6,CRED,신용평가시스템,2024-11-06 02:37:00,incremental,S,,2.08
7,CRED,신용평가시스템,2024-11-07 02:41:00,incremental,S,,2.22
8,CRED,신용평가시스템,2024-11-08 02:23:00,incremental,S,,4.49
9,CRED,신용평가시스템,2024-11-09 02:51:00,incremental,S,,0.83
10,CRED,신용평가시스템,2024-11-10 02:27:00,full,S,Y,16.38
11,CRED,신용평가시스템,2024-11-11 02:56:00,incremental,S,,1.92
12,CRED,신용평가시스템,2024-11-12 02:47:00,incremental,S,,4.0
13,CRED,신용평가시스템,2024-11-13 02:13:00,incremental,S,,4.59
14,CRED,신용평가시스템,2024-11-14 02:58:00,incremental,S,,2.34
15,CRED,신용평가시스템,2024-11-15 02:43:00,incremental,S,,0.82
16,CRED,신용평가시스템,2024-11-16 02:52:00,incremental,S,,1.84
17,CRED,신용평가시스템,2024-11-17 02:11:00,full,S,Y,25.24
18,CRED,신용평가시스템,2024-11-18 02:28:00,incremental,S,,2.15
19,CRED,신용평가시스템,2024-11-19 02:12:00,incremental,S,,1.47
20,CRED,신용평가시스템,2024-11-20 02:10:00,incremental,S,,1.21
21,CRED,신용평가시스템,2024-11-21 02:24:00,incremental,S,,2.43
22,CRED,신용평가시스템,2024-11-22 02:59:00,incremental,S,,3.53
23,CRED,신용평가시스템,2024-11-23 02:34:00,incremental,S,,2.42
24,CRED,신용평가시스템,2024-11-24 02:00:00,full,S,Y,26.09
25,CRED,신용평가시스템,2024-11-25 02:02:00,incremental,S,,4.15
26,CRED,신용평가시스템,2024-11-26 02:33:00,incremental,S,,0.9
27,CRED,신용평가시스템,2024-11-27 02:09:00,incremental,S,,3.68
28,CRED,신용평가시스템,2024-11-28 02:39:00,incremental,S,,4.09
29,CRED,신용평가시스템,2024-11-29 02:33:00,incremental,S,,1.17
30,CRED,신용평가시스템,2024-11-30 02:55:00,incremental,S,,2.9
31,CRED,신용평가시스템,2024-12-01 02:35:00,full,S,N,25.17
32,CRED,신용평가시스템,2024-12-02 02:02:00,incremental,S,,2.66
33,CRED,신용평가시스템,2024-12-03 02:30:00,incremental,S,,0.68
34,CRED,신용평가시스템,2024-12-04 02:14:00,incremental,S,,1.28
35,CRED,신용평가시스템,2024-12-05 02:29:00,incremental,S,,2.37
36,CRED,신용평가시스템,2024-12-06 02:27:00,incremental,S,,1.99
37,CRED,신용평가시스템,2024-12-07 02:56:00,incremental,S,,1.89
38,CRED,신용평가시스템,2024-12-08 02:07:00,full,S,N,16.72
39,CRED,신용평가시스템,2024-12-09 02:46:00,incremental,S,,1.57
40,CRED,신용평가시스템,2024-12-10 02:13:00,incremental,S,,0.87
41,CRED,신용평가시스템,2024-12-11 02:07:00,incremental,S,,3.32
42,CRED,신용평가시스템,2024-12-12 02:51:00,incremental,S,,0.66
43,CRED,신용평가시스템,2024-12-13 02:30:00,incremental,S,,1.89
44,CRED,신용평가시스템,2024-12-14 02:24:00,incremental,S,,3.39
45,CRED,신용평가시스템,2024-12-15 02:37:00,full,S,Y,34.82
46,CRED,신용평가시스템,2024-12-16 02:32:00,incremental,S,,4.47
47,CRED,신용평가시스템,2024-12-17 02:53:00,incremental,S,,4.24
48,CRED,신용평가시스템,2024-12-18 02:36:00,incremental,S,,2.53
49,CRED,신용평가시스템,2024-12-19 02:20:00,incremental,S,,1.83
50,CRED,신용평가시스템,2024-12-20 02:25:00,incremental,S,,2.06
51,CRED,신용평가시스템,2024-12-21 02:52:00,incremental,S,,0.75
52,CRED,신용평가시스템,2024-12-22 02:58:00,full,S,Y,36.86
53,CRED,신용평가시스템,2024-12-23 02:27:00,incremental,S,,0.67
54,CRED,신용평가시스템,2024-12-24 02:50:00,incremental,S,,3.6
55,CRED,신용평가시스템,2024-12-25 02:12:00,incremental,S,,2.92
56,CRED,신용평가시스템,2024-12-26 02:54:00,incremental,S,,2.5
57,CRED,신용평가시스템,2024-12-27 02:52:00,incremental,S,,1.62
58,CRED,신용평가시스템,2024-12-28 02:27:00,incremental,S,,3.81
59,CRED,신용평가시스템,2024-12-29 02:27:00,full,S,Y,19.19
60,CRED,신용평가시스템,2024-12-30 02:45:00,incremental,S,,2.9
61,CRED,신용평가시스템,2024-12-31 02:04:00,incremental,S,,2.47
62,CRED,신용평가시스템,2025-01-01 02:17:00,incremental,S,,4.81
63,CRED,신용평가시스템,2025-01-02 02:52:00,incremental,S,,1.33
64,CRED,신용평가시스템,2025-01-03 02:44:00,incremental,S,,2.35
65,CRED,신용평가시스템,2025-01-04 02:05:00,incremental,S,,2.24
66,CRED,신용평가시스템,2025-01-05 02:18:00,full,S,Y,28.79
67,CRED,신용평가시스템,2025-01-06 02:50:00,incremental,S,,1.44
68,CRED,신용평가시스템,2025-01-07 02:02:00,incremental,S,,1.11
69,CRED,신용평가시스템,2025-01-08 02:54:00,incremental,S,,0.97
70,CRED,신용평가시스템,2025-01-09 02:23:00,incremental,S,,3.58
71,CRED,신용평가시스템,2025-01-10 02:09:00,incremental,S,,3.76
72,CRED,신용평가시스템,2025-01-11 02:10:00,incremental,S,,0.74
73,CRED,신용평가시스템,2025-01-12 02:06:00,full,S,N,39.64
74,CRED,신용평가시스템,2025-01-13 02:16:00,incremental,S,,1.72
75,CRED,신용평가시스템,2025-01-14 02:48:00,incremental,S,,4.12
76,CRED,신용평가시스템,2025-01-15 02:30:00,incremental,S,,3.55
77,CRED,신용평가시스템,2025-01-16 02:32:00,incremental,S,,4.96
78,CRED,신용평가시스템,2025-01-17 02:45:00,incremental,S,,1.62
79,CRED,신용평가시스템,2025-01-18 02:18:00,incremental,S,,1.49
80,CRED,신용평가시스템,2025-01-19 02:13:00,full,S,Y,36.01
81,CRED,신용평가시스템,2025-01-20 02:40:00,incremental,S,,3.19
82,CRED,신용평가시스템,2025-01-21 02:06:00,incremental,S,,1.34
83,CRED,신용평가시스템,2025-01-22 02:16:00,incremental,S,,2.44
84,CRED,신용평가시스템,2025-01-23 02:29:00,incremental,S,,4.58
85,CRED,신용평가시스템,2025-01-24 02:33:00,incremental,S,,3.2
86,CRED,신용평가시스템,2025-01-25 02:01:00,incremental,S,,4.4
87,CRED,신용평가시스템,2025-01-26 02:30:00,full,S,N,26.01
88,CRED,신용평가시스템,2025-01-27 02:09:00,incremental,S,,1.91
89,CRED,신용평가시스템,2025-01-28 02:43:00,incremental,S,,1.05
90,CRED,신용평가시스템,2025-01-29 02:48:00,incremental,S,,0.97
91,CRED,신용평가시스템,2025-01-30 02:14:00,incremental,S,,3.27
92,CRED,신용평가시스템,2025-01-31 02:27:00,incremental,S,,1.48
93,CRED,신용평가시스템,2025-02-01 02:10:00,incremental,S,,3.48
94,CRED,신용평가시스템,2025-02-02 02:23:00,full,S,Y,26.69
95,CRED,신용평가시스템,2025-02-03 02:39:00,incremental,S,,3.23
96,CRED,신용평가시스템,2025-02-04 02:27:00,incremental,S,,1.4
97,CRED,신용평가시스템,2025-02-05 02:12:00,incremental,S,,0.71
98,CRED,신용평가시스템,2025-02-06 02:56:00,incremental,S,,3.76
99,CRED,신용평가시스템,2025-02-07 02:56:00,incremental,S,,3.89
100,CRED,신용평가시스템,2025-02-08 02:39:00,incremental,S,,0.98
101,CRED,신용평가시스템,2025-02-09 02:31:00,full,S,Y,13.41
102,CRED,신용평가시스템,2025-02-10 02:20:00,incremental,S,,3.36
103,CRED,신용평가시스템,2025-02-11 02:53:00,incremental,S,,3.67
104,CRED,신용평가시스템,2025-02-12 02:37:00,incremental,S,,1.41
105,CRED,신용평가시스템,2025-02-13 02:19:00,incremental,S,,2.8
106,CRED,신용평가시스템,2025-02-14 02:01:00,incremental,S,,0.81
107,CRED,신용평가시스템,2025-02-15 02:43:00,incremental,S,,1.74
108,CRED,신용평가시스템,2025-02-16 02:12:00,full,S,N,7.9
109,CRED,신용평가시스템,2025-02-17 02:39:00,incremental,S,,4.28
110,CRED,신용평가시스템,2025-02-18 02:03:00,incremental,S,,0.79
111,CRED,신용평가시스템,2025-02-19 02:38:00,incremental,S,,0.87
112,CRED,신용평가시스템,2025-02-20 02:45:00,incremental,S,,1.93
113,CRED,신용평가시스템,2025-02-21 02:28:00,incremental,S,,2.66
114,CRED,신용평가시스템,2025-02-22 02:30:00,incremental,S,,3.9
115,CRED,신용평가시스템,2025-02-23 02:05:00,full,S,Y,29.14
116,CRED,신용평가시스템,2025-02-24 02:13:00,incremental,S,,4.35
117,CRED,신용평가시스템,2025-02-25 02:15:00,incremental,S,,1.06
118,CRED,신용평가시스템,2025-02-26 02:19:00,incremental,S,,3.47
119,CRED,신용평가시스템,2025-02-27 02:57:00,incremental,S,,3.78
120,CRED,신용평가시스템,2025-02-28 02:13:00,incremental,S,,3.01
121,CRED,신용평가시스템,2025-03-01 02:38:00,incremental,S,,3.98
122,CRED,신용평가시스템,2025-03-02 02:58:00,full,S,Y,32.1
123,CRED,신용평가시스템,2025-03-03 02:37:00,incremental,S,,2.25
124,CRED,신용평가시스템,2025-03-04 02:55:00,incremental,S,,0.65
125,CRED,신용평가시스템,2025-03-05 02:51:00,incremental,S,,1.76
126,CRED,신용평가시스템,2025-03-06 02:51:00,incremental,S,,4.44
127,CRED,신용평가시스템,2025-03-07 02:54:00,incremental,S,,2.37
128,CRED,신용평가시스템,2025-03-08 02:59:00,incremental,S,,0.77
129,CRED,신용평가시스템,2025-03-09 02:00:00,full,S,N,24.72
130,CRED,신용평가시스템,2025-03-10 02:08:00,incremental,S,,2.37
131,CRED,신용평가시스템,2025-03-11 02:36:00,incremental,S,,1.79
132,CRED,신용평가시스템,2025-03-12 02:03:00,incremental,S,,4.35
133,CRED,신용평가시스템,2025-03-13 02:13:00,incremental,S,,2.95
134,CRED,신용평가시스템,2025-03-14 02:00:00,incremental,S,,1.82
135,CRED,신용평가시스템,2025-03-15 02:33:00,incremental,S,,1.27
136,CRED,신용평가시스템,2025-03-16 02:06:00,full,S,Y,18.89
137,CRED,신용평가시스템,2025-03-17 02:24:00,incremental,S,,0.83
138,CRED,신용평가시스템,2025-03-18 02:13:00,incremental,S,,1.42
139,CRED,신용평가시스템,2025-03-19 02:57:00,incremental,S,,1.78
140,CRED,신용평가시스템,2025-03-20 02:59:00,incremental,S,,1.4
141,CRED,신용평가시스템,2025-03-21 02:39:00,incremental,S,,1.37
142,CRED,신용평가시스템,2025-03-22 02:53:00,incremental,S,,4.09
143,CRED,신용평가시스템,2025-03-23 02:17:00,full,S,N,38.29
144,CRED,신용평가시스템,2025-03-24 02:06:00,incremental,S,,1.86
145,CRED,신용평가시스템,2025-03-25 02:17:00,incremental,S,,3.54
146,CRED,신용평가시스템,2025-03-26 02:05:00,incremental,S,,3.0
147,CRED,신용평가시스템,2025-03-27 02:29:00,incremental,S,,2.96
148,CRED,신용평가시스템,2025-03-28 02:40:00,incremental,S,,3.97
149,CRED,신용평가시스템,2025-03-29 02:28:00,incremental,S,,1.31
150,CRED,신용평가시스템,2025-03-30 02:04:00,full,S,N,42.91
151,CRED,신용평가시스템,2025-03-31 02:01:00,incremental,S,,2.08
152,CRED,신용평가시스템,2025-04-01 02:39:00,incremental,S,,0.6
153,CRED,신용평가시스템,2025-04-02 02:48:00,incremental,S,,1.7
154,CRED,신용평가시스템,2025-04-03 02:48:00,incremental,S,,3.26
155,CRED,신용평가시스템,2025-04-04 02:29:00,incremental,S,,1.3
156,CRED,신용평가시스템,2025-04-05 02:17:00,incremental,S,,4.5
157,CRED,신용평가시스템,2025-04-06 02:03:00,full,S,N,45.74
158,CRED,신용평가시스템,2025-04-07 02:50:00,incremental,S,,2.32
159,CRED,신용평가시스템,2025-04-08 02:41:00,incremental,S,,0.56
160,CRED,신용평가시스템,2025-04-09 02:29:00,incremental,S,,0.65
161,CRED,신용평가시스템,2025-04-10 02:45:00,incremental,S,,4.61
162,CRED,신용평가시스템,2025-04-11 02:43:00,incremental,S,,2.14
163,CRED,신용평가시스템,2025-04-12 02:22:00,incremental,S,,4.77
164,CRED,신용평가시스템,2025-04-13 02:51:00,full,S,Y,49.11
165,CRED,신용평가시스템,2025-04-14 02:31:00,incremental,S,,3.7
166,CRED,신용평가시스템,2025-04-15 02:01:00,incremental,S,,3.71
167,CRED,신용평가시스템,2025-04-16 02:09:00,incremental,S,,4.84
168,CRED,신용평가시스템,2025-04-17 02:36:00,incremental,S,,3.88
169,CRED,신용평가시스템,2025-04-18 02:59:00,incremental,S,,4.15
170,CRED,신용평가시스템,2025-04-19 02:19:00,incremental,S,,1.64
171,CRED,신용평가시스템,2025-04-20 02:28:00,full,S,N,15.85
172,CRED,신용평가시스템,2025-04-21 02:06:00,incremental,S,,2.54
173,CRED,신용평가시스템,2025-04-22 02:46:00,incremental,S,,1.02
174,CRED,신용평가시스템,2025-04-23 02:04:00,incremental,S,,0.57
175,CRED,신용평가시스템,2025-04-24 02:50:00,incremental,S,,3.24
176,CRED,신용평가시스템,2025-04-25 02:22:00,incremental,S,,1.48
177,CRED,신용평가시스템,2025-04-26 02:36:00,incremental,F,,2.28
178,CRED,신용평가시스템,2025-04-27 02:21:00,full,S,Y,9.62
179,CRED,신용평가시스템,2025-04-28 02:12:00,incremental,S,,3.2
180,CRED,신용평가시스템,2025-04-29 02:31:00,incremental,S,,3.41
181,CRED,신용평가시스템,2025-04-30 02:24:00,incremental,S,,3.0
182,PORTAL,고객포털,2024-11-01 02:04:00,incremental,S,,3.56
183,PORTAL,고객포털,2024-11-02 02:21:00,incremental,S,,3.05
184,PORTAL,고객포털,2024-11-03 02:23:00,full,S,Y,36.44
185,PORTAL,고객포털,2024-11-04 02:32:00,incremental,S,,2.19
186,PORTAL,고객포털,2024-11-05 02:10:00,incremental,S,,1.34
187,PORTAL,고객포털,2024-11-06 02:53:00,incremental,S,,0.55
